year,Anchor Handling Tug,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Crew Transfer Vessel 3,Diving Support Vessel 1,Diving Support Vessel 2
1989,3507590.3921918124,1384703.057952697,1384751.821801384,1384941.4634005544,0.0,0.0
1990,5201754.1186992,1388755.350864426,1388539.2232617682,1388517.1672388124,0.0,0.0
1991,3159054.487265829,1389168.03777442,1389248.6381548706,1389172.5504586096,0.0,0.0
1992,1709384.5869159843,1392609.7553010278,1392815.7472402777,1392608.7650899023,0.0,0.0
1993,2297216.068206497,1388986.2158439197,1388631.3326462947,1388630.3119161935,0.0,0.0
1994,3034077.284928232,1388990.8695098911,1389228.117179901,1389344.2767135452,0.0,0.0
1995,3844937.6095820204,1388873.0140460704,1388871.6053368414,1388874.1311618784,0.0,0.0
1996,3914826.131111467,1392430.6294252616,1392311.3488595202,1392310.3846068913,0.0,0.0
1997,2631435.8281115987,1388864.134341207,1389104.1500679334,1388864.9904160262,0.0,0.0
1998,3710348.232645382,1389105.3826118815,1388863.8762663186,1389222.1428165245,0.0,0.0
1999,2944221.6210481934,1388335.3172551657,1388640.7075223357,1388405.815156142,2043463.978871636,2010022.2572480645
2000,3119273.2870372334,1394124.8201441744,1393492.4545102685,1393167.6063108374,0.0,0.0
2001,3985514.7972402787,1387512.8068520313,1387957.6820781596,1388282.5782353573,2252006.176741266,1998165.8097678882
2002,4689054.727451044,1389121.5685194856,1389239.668024778,1389479.1844966682,0.0,0.0
2003,4120404.924361091,1388761.2142655402,1388998.2971254494,1388878.4018703194,2023502.0448181615,2000004.0883014791
2004,3017058.97689253,1392570.9799150329,1392212.6918090775,1392093.308596393,0.0,0.0
2005,2662467.783684683,1389385.4309056257,1389267.7507712299,1389504.199176308,2036189.6415367746,2024754.1375715542
2006,2886006.4007760966,1388845.1242855482,1388964.844163681,1388639.6942254044,0.0,0.0
2007,3097594.6113468064,1388288.193199655,1388407.8021865455,1388568.0817601555,2206160.7368374234,1996703.9882986466
2008,3223294.8170207418,1392928.147411331,1392966.870140038,1393055.9721807681,0.0,0.0
